"approval_ym","processing_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2024-06-01","EXPRESS","2209","0","0","0.00","109076.78"
"2024-06-01","PLP","3360","2","0.0005952380952380953","84680.83","689786.28"
"2024-06-01","STANDARD","302","0","0","0.00","746103.97"
"2024-07-01","CAPLINES","20","0","0","0.00","1009500.00"
"2024-07-01","EXPORT/TRADE","21","0","0","0.00","1974647.62"
"2024-07-01","EXPRESS","2223","1","0.000449842555105713","48478.82","111061.36"
"2024-07-01","PLP","3749","1","0.00026673779674579886","100276.99","638126.09"
"2024-07-01","STANDARD","343","0","0","0.00","707490.38"
"2024-08-01","CAPLINES","18","0","0","0.00","997472.22"
"2024-08-01","EXPORT/TRADE","19","0","0","0.00","1934489.47"
"2024-08-01","EXPRESS","2236","1","0.0004472271914132379","49000.00","110933.77"
"2024-08-01","PLP","4001","0","0","0.00","618822.94"
"2024-08-01","STANDARD","387","0","0","0.00","739481.65"
"2024-09-01","CAPLINES","24","0","0","0.00","1162750.00"
"2024-09-01","EXPORT/TRADE","39","0","0","0.00","2042238.46"
"2024-09-01","EXPRESS","2172","0","0","0.00","114137.89"
"2024-09-01","PLP","4759","0","0","0.00","653459.97"
"2024-09-01","STANDARD","353","0","0","0.00","834745.61"
"2024-10-01","CAPLINES","22","0","0","0.00","713590.91"
"2024-10-01","EXPORT/TRADE","8","0","0","0.00","1807000.00"
"2024-10-01","EXPRESS","2194","0","0","0.00","108623.52"
"2024-10-01","PLP","4403","0","0","0.00","519818.49"
"2024-10-01","STANDARD","298","0","0","0.00","829843.96"
"2024-11-01","CAPLINES","21","0","0","0.00","1288095.24"
"2024-11-01","EXPORT/TRADE","16","0","0","0.00","1852237.50"
"2024-11-01","EXPRESS","1936","0","0","0.00","103324.79"
"2024-11-01","PLP","3735","0","0","0.00","546796.14"
"2024-11-01","STANDARD","283","0","0","0.00","828289.40"
"2024-12-01","CAPLINES","27","0","0","0.00","883548.15"
"2024-12-01","EXPORT/TRADE","22","0","0","0.00","2290204.55"
"2024-12-01","EXPRESS","2047","0","0","0.00","113876.89"
"2024-12-01","PLP","4679","0","0","0.00","615738.56"
"2024-12-01","STANDARD","297","0","0","0.00","678628.28"
"2025-01-01","CAPLINES","17","0","0","0.00","1450294.12"
"2025-01-01","EXPORT/TRADE","21","0","0","0.00","2121023.81"
"2025-01-01","EXPRESS","2152","0","0","0.00","104254.65"
"2025-01-01","PLP","4676","0","0","0.00","536640.72"
"2025-01-01","STANDARD","308","0","0","0.00","757084.42"
"2025-02-01","CAPLINES","22","0","0","0.00","1309727.27"
"2025-02-01","EXPORT/TRADE","13","0","0","0.00","2822130.77"
"2025-02-01","EXPRESS","2296","0","0","0.00","104227.26"
"2025-02-01","PLP","4281","0","0","0.00","541758.49"
"2025-02-01","STANDARD","317","0","0","0.00","775786.75"
"2025-03-01","CAPLINES","50","0","0","0.00","1001900.00"
"2025-03-01","EXPORT/TRADE","20","0","0","0.00","2449480.00"
"2025-03-01","EXPRESS","2479","0","0","0.00","112915.09"
"2025-03-01","PLP","5760","0","0","0.00","612517.74"
"2025-03-01","STANDARD","502","0","0","0.00","834169.92"
"2025-04-01","CAPLINES","10","0","0","0.00","545060.00"
"2025-04-01","EXPORT/TRADE","11","0","0","0.00","2462727.27"
"2025-04-01","EXPRESS","1930","0","0","0.00","100017.56"
"2025-04-01","PLP","3920","0","0","0.00","526374.16"
"2025-04-01","STANDARD","190","0","0","0.00","462658.42"
"2025-05-01","CAPLINES","17","0","0","0.00","1069588.24"
"2025-05-01","EXPORT/TRADE","24","0","0","0.00","2406995.83"
"2025-05-01","EXPRESS","2509","0","0","0.00","104436.03"
"2025-05-01","PLP","5648","0","0","0.00","672916.57"
"2025-05-01","STANDARD","259","0","0","0.00","766506.56"
"2025-06-01","CAPLINES","17","0","0","0.00","1211705.88"
"2025-06-01","EXPORT/TRADE","17","0","0","0.00","2375182.35"
"2025-06-01","EXPRESS","1360","0","0","0.00","101543.09"
"2025-06-01","PLP","2243","0","0","0.00","707527.46"
"2025-06-01","STANDARD","179","0","0","0.00","892610.06"
