"approval_ym","naics_code_2","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2021-09-01","55","12","0","0","0.00","751600.00"
"2024-12-01","48","322","0","0","0.00","259625.78"
"2023-01-01","53","114","1","0.008771929824561403","24961.75","523921.93"
"2019-11-01","32","57","2","0.03508771929824561","135869.79","648782.46"
"2024-03-01","21","9","0","0","0.00","248955.56"
"2023-05-01","56","291","3","0.010309278350515464","198225.94","285161.86"
"2020-09-01","31","109","2","0.01834862385321101","746581.10","442597.25"
"2023-06-01","52","72","0","0","0.00","592579.17"
"2022-02-01","54","295","6","0.020338983050847456","294314.00","466616.27"
"2022-05-01","22","5","0","0","0.00","27080.00"
"2023-08-01","55","2","0","0","0.00","1499150.00"
"2024-11-01","49","24","0","0","0.00","378258.33"
"2020-08-01","53","86","1","0.011627906976744186","15116.95","809425.58"
"2023-01-01","23","546","16","0.029304029304029304","4099088.71","329189.56"
"2021-06-01","42","237","3","0.012658227848101266","1327887.09","783331.22"
"2022-02-01","53","113","3","0.02654867256637168","451221.69","682747.79"
"2021-12-01","92","1","0","0","0.00","316300.00"
"2022-12-01","42","202","2","0.009900990099009901","366156.50","623260.40"
"2022-04-01","23","534","6","0.011235955056179775","737262.47","362932.58"
"2021-09-01","45","322","2","0.006211180124223602","302993.11","575467.39"
"2021-02-01","44","425","2","0.004705882352941176","397447.48","802377.65"
"2021-09-01","92","7","0","0","0.00","1076414.29"
"2024-10-01","71","287","0","0","0.00","427487.46"
"2019-11-01","71","154","12","0.07792207792207792","3310617.54","422424.68"
"2022-08-01","62","390","5","0.01282051282051282","664306.44","513690.00"
"2020-12-01","49","20","0","0","0.00","791190.00"
"2022-09-01","42","222","7","0.03153153153153153","371334.71","815039.19"
"2022-12-01","81","419","4","0.00954653937947494","456521.07","529227.68"
"2020-05-01","62","206","3","0.014563106796116505","297178.87","559329.61"
"2022-08-01","71","170","3","0.01764705882352941","125106.43","532145.88"
"2023-04-01","32","51","1","0.0196078431372549","146241.55","717292.16"
"2022-06-01","62","435","3","0.006896551724137931","515326.00","602737.01"
"2020-04-01","71","165","5","0.030303030303030304","721525.06","569589.09"
"2023-01-01","21","7","0","0","0.00","1557357.14"
"2020-12-01","55","5","0","0","0.00","832800.00"
"2022-09-01","48","311","8","0.02572347266881029","2121012.92","273879.42"
"2023-04-01","44","265","3","0.011320754716981131","188078.61","534904.53"
"2020-06-01","44","204","1","0.004901960784313725","19897.26","692237.75"
"2021-05-01","45","167","4","0.023952095808383235","651254.75","473645.51"
"2024-04-01","55","2","0","0","0.00","2450000.00"
"2022-10-01","42","208","8","0.038461538461538464","1458807.80","702189.42"
"2024-03-01","55","3","0","0","0.00","207666.67"
"2020-07-01","72","277","5","0.018050541516245487","662080.15","824598.92"
"2024-07-01","44","349","1","0.0028653295128939827","48478.82","503988.54"
"2023-11-01","44","282","2","0.0070921985815602835","174053.72","548690.07"
"2020-01-01","55","1","0","0","0.00","328500.00"
"2019-12-01","33","133","6","0.045112781954887216","564771.00","638482.71"
"2024-02-01","62","454","0","0","0.00","542791.85"
"2020-10-01","31","71","0","0","0.00","476780.28"
"2021-05-01","51","26","0","0","0.00","609650.00"
"2021-12-01","23","443","13","0.029345372460496615","1203318.20","517637.47"
"2023-09-01","23","895","5","0.00558659217877095","417951.91","366420.45"
"2020-09-01","62","487","7","0.014373716632443531","2771829.51","740394.66"
"2020-06-01","49","26","0","0","0.00","273157.69"
"2020-12-01","53","91","2","0.02197802197802198","65428.55","846112.09"
"2022-03-01","61","72","0","0","0.00","411158.33"
"2020-08-01","92","1","0","0","0.00","620000.00"
"2020-03-01","44","317","7","0.022082018927444796","2163685.68","442735.33"
"2023-10-01","81","381","2","0.005249343832020997","73646.55","309582.68"
"2021-08-01","44","788","9","0.011421319796954314","1266193.89","944702.03"
"2022-08-01","33","158","4","0.02531645569620253","215331.50","646001.90"
"2021-05-01","33","164","2","0.012195121951219513","707127.85","824866.46"
"2024-04-01","52","92","1","0.010869565217391304","25000.00","384696.74"
"2019-10-01","42","176","7","0.03977272727272727","1630774.40","500646.02"
"2024-12-01","54","813","0","0","0.00","401915.99"
"2020-09-01","61","59","1","0.01694915254237288","95400.30","709261.02"
"2022-10-01","11","51","0","0","0.00","744019.61"
"2022-01-01","31","64","0","0","0.00","539092.19"
"2021-05-01","44","386","4","0.010362694300518135","692308.96","808324.61"
"2023-12-01","72","606","0","0","0.00","594382.51"
"2020-05-01","33","68","0","0","0.00","719469.12"
"2024-12-01","21","9","0","0","0.00","998555.56"
"2021-11-01","44","252","4","0.015873015873015872","74987.17","512201.19"
"2023-01-01","92","1","0","0","0.00","1050000.00"
"2023-08-01","62","420","1","0.002380952380952381","22000.00","506817.38"
"2025-02-01","55","3","0","0","0.00","682666.67"
"2022-11-01","21","7","0","0","0.00","885057.14"
"2023-01-01","42","173","2","0.011560693641618497","74330.25","527601.73"
"2022-12-01","32","58","0","0","0.00","783955.17"
"2025-06-01","23","536","0","0","0.00","355509.51"
"2020-01-01","56","169","12","0.07100591715976332","692685.85","246040.24"
"2022-07-01","21","5","0","0","0.00","1965780.00"
"2022-04-01","62","362","2","0.0055248618784530384","190210.69","588922.65"
"2024-09-01","51","69","0","0","0.00","407056.52"
"2020-10-01","62","235","5","0.02127659574468085","375378.04","630806.38"
"2024-12-01","44","365","0","0","0.00","562573.15"
"2023-10-01","32","55","0","0","0.00","577152.73"
"2021-04-01","23","517","9","0.017408123791102514","1223316.45","419992.26"
"2021-10-01","52","57","3","0.05263157894736842","767186.25","299956.14"
"2024-10-01","62","697","0","0","0.00","426720.66"
"2023-06-01","71","205","0","0","0.00","442645.85"
"2022-01-01","45","129","6","0.046511627906976744","546391.17","337271.32"
"2020-12-01","45","128","4","0.03125","354485.43","508267.19"
"2024-05-01","55","3","0","0","0.00","2821200.00"
"2023-09-01","31","132","0","0","0.00","418778.79"
"2022-11-01","55","2","0","0","0.00","500000.00"
"2021-04-01","11","81","0","0","0.00","604219.75"
"2024-08-01","72","798","0","0","0.00","623166.42"
